323,305
512,845
780,175
308,50
266,604
152,425
199,618
214,572
977,596
1113,756
1019,316
972,322
1181,138
785,756
504,378
597,537
1068,485
738,108
437,359
1163,567
585,549
490,527
616,5
258,605
1265,473
728,421
659,626
162,781
725,549
165,23
1148,554
169,710
388,290
989,746
619,361
951,850
1136,770
592,284
298,430
441,408
1014,534
147,77
822,429
1210,162
109,647
65,605
319,595
535,315
691,420
266,290
127,824
435,779
306,161
248,653
23,478
751,276
1295,752
60,855
1041,757
639,773
564,757
1295,142
1158,21
311,868
1265,421
1285,884
89,26
45,677
358,222
261,880
216,173
440,213
738,666
1183,294
527,829
447,483
112,225
970,364
269,137
1163,631
1004,161
952,584
616,889
589,737
957,275
142,581
238,131
378,30
152,770
127,600
311,569
994,852
180,254
850,590
1091,173
927,115
246,536
574,341
325,891
460,590
1004,682
248,857
629,660
912,107
850,30
480,507
454,691
818,106
802,142
498,490
112,290
1019,644
589,856
256,339
314,364
186,191
920,564
119,747
914,737
566,131
1203,372
0,578
807,121
882,484
805,477
633,446
438,309
142,458
485,354
147,406
1225,757
873,359
1039,235
544,217
825,51
750,801
818,815
187,30
360,325
199,177
1305,242
569,757
510,40
853,756
964,182
1083,332
1136,322
1248,663
187,526
894,259
470,173
990,35
457,427
433,620
1248,834
169,582
1158,737
157,632
459,626
1289,112
850,752
62,834
1200,777
711,435
1287,507
82,532
646,816
80,756
323,813
691,690
1016,569
892,585
557,350
972,200
179,38
1083,226
853,467
1153,428
1081,350
1275,578
856,203
338,200
157,578
1300,246
363,809
1245,856
857,691
236,585
950,325
480,322
525,875
1046,508
1125,110
348,234
985,443
346,712
818,113
560,93
1044,537
1041,309
53,269
510,187
110,777
898,801
1136,613
694,453
1044,290
15,133
1289,894
1245,84
562,374
619,499
482,144
877,722
1253,144
868,256
855,152
1300,648
691,586
676,234
1275,196
652,247
144,259
668,516
460,870
843,365
281,809
351,556
494,656
1290,749
554,746
527,294
353,499
996,812
880,353
1153,578
119,203
15,142
393,761
816,208
0,92
557,296
460,534
117,5
766,117
231,276
507,775
1245,810
1111,600
363,44
110,341
1305,298
338,710
227,668
343,868
850,669
72,197
870,233
497,276
800,707
336,750
72,25
738,786
1265,453
1181,427
480,572
311,89
157,170
922,255
179,182
1002,498
634,301
825,312
843,529
398,787
209,560
438,361
490,336
1203,277
135,872
321,302
57,144
987,589
1029,670
1200,677
1285,10
594,639
1193,633
320,859
8,816
20,145
649,596
756,430
490,367
803,119
773,185
851,626
266,703
492,781
343,569
768,793
634,833
109,269
872,585
440,777
246,470
1153,262
15,316
1128,488
594,761
296,528
1238,25
748,374
989,354
1201,359
412,409
1292,171
920,711
721,352
977,200
457,756
750,93
682,96
725,345
1116,142
964,712
30,248
1002,264
1084,679
1081,805
355,246
1250,639
1014,254
283,371
127,177
989,298
453,203
65,856
169,354
502,59
373,229
187,309
1126,143
1250,581
291,250
569,529
636,764
383,779
1210,264
117,633
565,110
460,478
518,409
825,876
333,694
631,416
599,459
152,280
1126,173
542,792
271,235
569,137
785,875
1153,316
333,724
512,591
957,499
999,325
512,581
435,721
231,724
1004,733
100,264
488,465
846,572
674,764
836,864
800,75
980,768
65,220
850,416
343,343
835,856
470,537
460,30
321,536
182,187
1191,131
463,424
474,254
321,540
